Day of created_at,TrumpWords,Number of Records
13/4/2020,news,10
13/4/2020,media,22
13/4/2020,man,5
13/4/2020,lives,16
13/4/2020,lies,9
13/4/2020,help,4
13/4/2020,health,5
13/4/2020,great,9
13/4/2020,good,7
13/4/2020,deaths,11
13/4/2020,day,7
13/4/2020,crisis,6
13/4/2020,country,21
13/4/2020,China,14
13/4/2020,care,8
13/4/2020,Americans,16
13/4/2020,American,16
13/4/2020,AMERICA,16
13/4/2020,administration,6
14/4/2020,World,36
14/4/2020,Virus,14
14/4/2020,time,19
14/4/2020,testing,8
14/4/2020,stop,13
14/4/2020,States,17
14/4/2020,right,16
14/4/2020,response,21
14/4/2020,public,6
14/4/2020,Press,16
14/4/2020,pandemic,23
14/4/2020,news,11
14/4/2020,media,26
14/4/2020,man,22
14/4/2020,lives,12
14/4/2020,lies,10
14/4/2020,help,5
14/4/2020,Health,20
14/4/2020,Great,3
14/4/2020,good,24
14/4/2020,deaths,16
14/4/2020,day,7
14/4/2020,crisis,12
14/4/2020,country,17
14/4/2020,China,9
14/4/2020,care,8
14/4/2020,Americans,11
14/4/2020,American,4
14/4/2020,America,16
14/4/2020,administration,7
15/4/2020,world,93
15/4/2020,Virus,12
15/4/2020,time,22
15/4/2020,testing,15
15/4/2020,Stop,11
15/4/2020,States,12
15/4/2020,right,16
15/4/2020,response,9
15/4/2020,public,49
15/4/2020,press,10
15/4/2020,pandemic,32
15/4/2020,news,6
15/4/2020,media,6
15/4/2020,man,14
15/4/2020,lives,11
15/4/2020,lies,11
15/4/2020,help,7
15/4/2020,Health,68
15/4/2020,great,13
15/4/2020,good,11
15/4/2020,deaths,13
15/4/2020,day,13
15/4/2020,crisis,16
15/4/2020,country,20
15/4/2020,China,28
15/4/2020,care,4
15/4/2020,Americans,13
15/4/2020,American,21
15/4/2020,America,10
15/4/2020,administration,10
16/4/2020,World,85
16/4/2020,virus,10
16/4/2020,time,7
16/4/2020,testing,15
16/4/2020,Stop,7
16/4/2020,states,14
16/4/2020,right,8
16/4/2020,response,6
16/4/2020,public,75
16/4/2020,press,5
16/4/2020,pandemic,15
16/4/2020,news,3
16/4/2020,media,2
16/4/2020,Man,5
16/4/2020,lives,12
16/4/2020,Lies,5
16/4/2020,help,3
16/4/2020,health,81
16/4/2020,GREAT,8
16/4/2020,good,7
16/4/2020,deaths,6
16/4/2020,day,5
16/4/2020,crisis,3
16/4/2020,country,13
16/4/2020,China,11
16/4/2020,care,3
16/4/2020,Americans,17
16/4/2020,American,7
16/4/2020,America,11
16/4/2020,administration,6
17/4/2020,World,33
17/4/2020,virus,14
17/4/2020,time,10
17/4/2020,testing,13
17/4/2020,stop,10
17/4/2020,States,29
17/4/2020,right,5
17/4/2020,response,3
17/4/2020,public,29
17/4/2020,press,2
17/4/2020,pandemic,10
17/4/2020,News,5
17/4/2020,media,3
17/4/2020,man,3
17/4/2020,lives,4
17/4/2020,lies,5
17/4/2020,help,7
17/4/2020,Health,30
17/4/2020,Great,5
17/4/2020,good,13
17/4/2020,deaths,32
17/4/2020,day,7
17/4/2020,crisis,3
17/4/2020,country,10
17/4/2020,China,15
17/4/2020,care,4
17/4/2020,Americans,19
17/4/2020,AMERICAN,4
17/4/2020,AMERICA,2
17/4/2020,Administration,9
18/4/2020,world,17
18/4/2020,virus,10
18/4/2020,time,16
18/4/2020,Testing,8
18/4/2020,stop,7
18/4/2020,States,11
18/4/2020,right,6
18/4/2020,response,1
18/4/2020,public,4
18/4/2020,press,3
18/4/2020,pandemic,3
18/4/2020,news,5
18/4/2020,media,4
18/4/2020,man,4
18/4/2020,lives,6
18/4/2020,LIES,5
18/4/2020,help,6
18/4/2020,health,9
18/4/2020,Great,3
18/4/2020,good,9
18/4/2020,Deaths,2
18/4/2020,day,5
18/4/2020,crisis,3
18/4/2020,country,13
18/4/2020,China,9
18/4/2020,care,3
18/4/2020,Americans,3
18/4/2020,American,5
18/4/2020,AMERICA,9
19/4/2020,world,14
19/4/2020,Virus,5
19/4/2020,time,14
19/4/2020,testing,5
19/4/2020,Stop,5
19/4/2020,states,12
19/4/2020,right,13
19/4/2020,response,5
19/4/2020,public,6
19/4/2020,Pandemic,14
19/4/2020,NEWS,8
19/4/2020,media,2
19/4/2020,man,3
19/4/2020,lives,6
19/4/2020,lies,7
19/4/2020,help,11
19/4/2020,health,10
19/4/2020,great,5
19/4/2020,good,7
19/4/2020,deaths,6
19/4/2020,day,6
19/4/2020,crisis,5
19/4/2020,country,10
19/4/2020,china,19
19/4/2020,care,4
19/4/2020,Americans,8
19/4/2020,American,5
19/4/2020,America,13
19/4/2020,administration,6
20/4/2020,World,8
20/4/2020,virus,18
20/4/2020,time,8
20/4/2020,testing,9
20/4/2020,Stop,4
20/4/2020,States,3
20/4/2020,Right,10
20/4/2020,Response,11
20/4/2020,public,3
20/4/2020,Press,7
20/4/2020,pandemic,14
20/4/2020,news,8
20/4/2020,media,3
20/4/2020,man,4
20/4/2020,Lives,7
20/4/2020,lies,7
20/4/2020,help,4
20/4/2020,Health,8
20/4/2020,great,2
20/4/2020,good,8
20/4/2020,deaths,7
20/4/2020,day,4
20/4/2020,crisis,6
20/4/2020,country,8
20/4/2020,china,15
20/4/2020,care,6
20/4/2020,Americans,21
20/4/2020,American,43
20/4/2020,America,39
20/4/2020,Administration,6
21/4/2020,world,10
21/4/2020,virus,9
21/4/2020,time,16
21/4/2020,testing,15
21/4/2020,stop,4
21/4/2020,States,13
21/4/2020,RIGHT,8
21/4/2020,response,8
21/4/2020,public,1
21/4/2020,press,3
21/4/2020,pandemic,12
21/4/2020,News,2
21/4/2020,media,1
21/4/2020,man,2
21/4/2020,lives,6
21/4/2020,lies,6
21/4/2020,help,9
21/4/2020,health,6
21/4/2020,great,5
21/4/2020,good,12
21/4/2020,deaths,5
21/4/2020,day,8
21/4/2020,crisis,4
21/4/2020,country,9
21/4/2020,China,8
21/4/2020,care,4
21/4/2020,Americans,13
21/4/2020,American,7
21/4/2020,America,13
21/4/2020,administration,4
22/4/2020,world,11
22/4/2020,virus,7
22/4/2020,time,13
22/4/2020,testing,6
22/4/2020,stop,8
22/4/2020,States,6
22/4/2020,right,14
22/4/2020,response,5
22/4/2020,public,4
22/4/2020,press,3
22/4/2020,pandemic,12
22/4/2020,news,6
22/4/2020,media,2
22/4/2020,man,6
22/4/2020,LIVES,7
22/4/2020,lies,8
22/4/2020,help,3
22/4/2020,health,4
22/4/2020,Great,8
22/4/2020,good,3
22/4/2020,deaths,3
22/4/2020,day,7
22/4/2020,country,3
22/4/2020,China,3
22/4/2020,Care,2
22/4/2020,Americans,3
22/4/2020,American,4
22/4/2020,America,4
22/4/2020,administration,3
23/4/2020,world,7
23/4/2020,virus,11
23/4/2020,time,9
23/4/2020,testing,8
23/4/2020,Stop,7
23/4/2020,states,9
23/4/2020,right,7
23/4/2020,response,3
23/4/2020,public,3
23/4/2020,press,3
23/4/2020,pandemic,6
23/4/2020,news,9
23/4/2020,media,1
23/4/2020,man,5
23/4/2020,lives,2
23/4/2020,lies,1
23/4/2020,help,8
23/4/2020,Health,2
23/4/2020,great,3
23/4/2020,good,8
23/4/2020,deaths,3
23/4/2020,day,4
23/4/2020,crisis,3
23/4/2020,country,8
23/4/2020,China,5
23/4/2020,care,4
23/4/2020,Americans,11
23/4/2020,American,6
23/4/2020,America,6
23/4/2020,administration,2
24/4/2020,world,25
24/4/2020,virus,26
24/4/2020,time,27
24/4/2020,testing,6
24/4/2020,Stop,20
24/4/2020,States,11
24/4/2020,right,29
24/4/2020,response,3
24/4/2020,public,6
24/4/2020,press,13
24/4/2020,pandemic,17
24/4/2020,news,21
24/4/2020,media,3
24/4/2020,man,27
24/4/2020,LIVES,3
24/4/2020,lies,5
24/4/2020,help,14
24/4/2020,health,14
24/4/2020,great,12
24/4/2020,good,27
24/4/2020,deaths,7
24/4/2020,day,14
24/4/2020,crisis,6
24/4/2020,country,12
24/4/2020,China,12
24/4/2020,care,4
24/4/2020,Americans,21
24/4/2020,American,10
24/4/2020,America,17
24/4/2020,administration,10
25/4/2020,world,10
25/4/2020,Virus,2
25/4/2020,time,15
25/4/2020,testing,1
25/4/2020,Stop,7
25/4/2020,States,4
25/4/2020,Right,9
25/4/2020,response,2
25/4/2020,public,3
25/4/2020,press,2
25/4/2020,pandemic,3
25/4/2020,news,6
25/4/2020,media,8
25/4/2020,man,7
25/4/2020,lives,8
25/4/2020,lies,2
25/4/2020,Health,1
25/4/2020,Great,4
25/4/2020,good,9
25/4/2020,deaths,9
25/4/2020,day,5
25/4/2020,crisis,3
25/4/2020,country,6
25/4/2020,China,7
25/4/2020,Americans,11
25/4/2020,American,7
25/4/2020,America,7
25/4/2020,administration,5
26/4/2020,world,8
26/4/2020,virus,3
26/4/2020,time,7
26/4/2020,testing,1
26/4/2020,stop,6
26/4/2020,States,3
26/4/2020,right,6
26/4/2020,response,3
26/4/2020,public,4
26/4/2020,press,6
26/4/2020,pandemic,6
26/4/2020,news,8
26/4/2020,media,3
26/4/2020,man,3
26/4/2020,lives,3
26/4/2020,lies,3
26/4/2020,help,2
26/4/2020,health,3
26/4/2020,great,7
26/4/2020,good,12
26/4/2020,deaths,3
26/4/2020,day,3
26/4/2020,Crisis,1
26/4/2020,country,3
26/4/2020,China,2
26/4/2020,care,1
26/4/2020,Americans,7
26/4/2020,American,3
26/4/2020,America,5
26/4/2020,Administration,4
27/4/2020,world,2
27/4/2020,virus,4
27/4/2020,time,3
27/4/2020,testing,1
27/4/2020,stop,6
27/4/2020,states,3
27/4/2020,right,4
27/4/2020,response,2
27/4/2020,public,2
27/4/2020,press,3
27/4/2020,Pandemic,8
27/4/2020,news,7
27/4/2020,media,1
27/4/2020,lives,1
27/4/2020,LIES,2
27/4/2020,help,4
27/4/2020,health,3
27/4/2020,good,2
27/4/2020,deaths,3
27/4/2020,day,6
27/4/2020,crisis,5
27/4/2020,country,2
27/4/2020,China,5
27/4/2020,care,4
27/4/2020,Americans,5
27/4/2020,American,6
27/4/2020,America,2
27/4/2020,administration,6
28/4/2020,world,7
28/4/2020,virus,5
28/4/2020,time,12
28/4/2020,testing,9
28/4/2020,Stop,6
28/4/2020,states,14
28/4/2020,right,8
28/4/2020,response,4
28/4/2020,public,1
28/4/2020,Press,2
28/4/2020,pandemic,9
28/4/2020,news,9
28/4/2020,media,2
28/4/2020,man,5
28/4/2020,lives,10
28/4/2020,Lies,4
28/4/2020,help,9
28/4/2020,Great,3
28/4/2020,good,10
28/4/2020,deaths,6
28/4/2020,day,1
28/4/2020,crisis,4
28/4/2020,country,5
28/4/2020,China,5
28/4/2020,care,3
28/4/2020,Americans,18
28/4/2020,American,6
28/4/2020,AMERICA,1
28/4/2020,Administration,6
29/4/2020,world,6
29/4/2020,virus,4
29/4/2020,Time,9
29/4/2020,testing,4
29/4/2020,stop,4
29/4/2020,States,2
29/4/2020,RIGHT,8
29/4/2020,response,4
29/4/2020,public,2
29/4/2020,press,3
29/4/2020,pandemic,5
29/4/2020,news,4
29/4/2020,media,2
29/4/2020,man,2
29/4/2020,Lives,7
29/4/2020,lies,1
29/4/2020,help,1
29/4/2020,health,4
29/4/2020,Great,4
29/4/2020,Good,4
29/4/2020,deaths,5
29/4/2020,day,10
29/4/2020,country,8
29/4/2020,China,12
29/4/2020,care,5
29/4/2020,Americans,9
29/4/2020,American,3
29/4/2020,America,5
29/4/2020,administration,3
30/4/2020,world,6
30/4/2020,virus,10
30/4/2020,time,6
30/4/2020,testing,8
30/4/2020,stop,8
30/4/2020,States,1
30/4/2020,Right,3
30/4/2020,response,2
30/4/2020,public,2
30/4/2020,press,3
30/4/2020,pandemic,6
30/4/2020,News,3
30/4/2020,media,4
30/4/2020,man,4
30/4/2020,lives,2
30/4/2020,lies,3
30/4/2020,help,3
30/4/2020,health,7
30/4/2020,great,9
30/4/2020,Good,4
30/4/2020,deaths,5
30/4/2020,day,3
30/4/2020,crisis,3
30/4/2020,country,6
30/4/2020,China,10
30/4/2020,care,9
30/4/2020,Americans,5
30/4/2020,American,3
30/4/2020,America,7
30/4/2020,Administration,5
